No.,도메인,세부 도메인,의도 (Intention),문장
1890,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상 정지 모드 켜서 위험할 때 멈춰 줘.
1891,차량 제어,좌석 제어,좌석 통풍 켜기,좌석 통풍 기능 좀 켤까?
1892,차량 제어,좌석 제어,좌석 통풍 켜기,너무 답답한데 좌석에 통풍 좀 시켜 줘.
1893,차선 제어,차선 변경,왼쪽으로 차선 변경,왼쪽 차선으로 변경하게 뒤 차량 확인해 줘.
1894,비상 제어,차량 비상 정지,비상 정지 모드 켜기,오늘 하루 비상 정지 모드로 세팅해 줘.
1895,차선 제어,차선 변경,왼쪽으로 차선 변경,얼른 왼쪽으로 차선 타!
1896,차량 제어,도어 제어,뒷자리 차문 닫기,운전 중엔 자동으로 뒷자리 잠금 걸어.
1897,차량 제어,운전 제어,일자 따라 가기,앞 차 따라 가기는 할 수 있지?
1898,차량 제어,도어 제어,조수석 차문 열기,멈추면 조수석부터 문 열어 줘.
1899,차량 제어,운전 제어,일자 따라 가기,앞 차량 동행 해.
1900,비상 제어,보험사 연락,자동 보험사 연락,비상 상황이라 판단되면 그 즉시 보험 불러 줘.
1901,주행 정보,주행 기록,자율 주행 주행 기록,시내에서의 자율 주행 평균 속도를 알려 줘.
1902,차선 제어,차선 변경,차선 변경,반대 차선으로 가자.
1903,차량 제어,창문 제어,전체 창문 열기,시원하게 전체 창문 열고 주행해 줘.
1904,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행한 장소들 탐색해 주겠니?
1905,차선 제어,갓길 이동 정차,갓길 이동 명령,바로 앞에 있는 갓길로 이동해 줄래?
1906,주행 정보,주행 기록,자율 주행 주행 기록,최근에 어느 구간에서 자율 주행했지?
1907,주행 정보,주행 기록,자율 주행 주행 기록,이번 자율 주행 거리 몇 킬로미터인지 말해 줘.
1908,차량 제어,도어 제어,뒷자리 차문 닫기,사람이 타면 뒷자리 차문 닫아 줄래?
1909,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에 비상 주차해.
1910,주행 정보,속도 확인,자율 주행 속도 확인,지금 자율 주행 중인 차 시속 알려 줘.
1911,비상 제어,차량 비상 정지,비상 정지 모드 끄기,이제 비상 정지 모드 꺼도 돼.
1912,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행으로 얼마나 빨리 달리고 있는지 궁금해.
1913,차량 제어,도어 제어,뒷자리 차문 닫기,아이가 타고있어서 뒷자리 차 문은 잠궈야 할 것 같네.
1914,차량 제어,좌석 제어,좌석 통풍 켜기,내 좌석에만 통풍 켜 줘.
1915,차량 제어,좌석 제어,좌석 온도 올리기,의자가 너무 차갑다 온도 올려 줘.
1916,차량 제어,운전 제어,일자 따라 가기,앞에 가는 대로 따라 해.
1917,차량 제어,긴급 차량,에스오에스차량 양보,구급차 지나 갈 수 있도록 길 열어 줘.
1918,차량 제어,속도 제어,주행 속도 세팅,운전 속도는 시속 팔십 킬로미터로 해 줘.
1919,차량 제어,도어 제어,전체 차문 닫기,전체문 확실히 닫아 줘.
1920,차선 제어,갓길 이동 정차,갓길 이동 명령,눈앞에 보이는 갓길로 이동해.
1921,차량 제어,공조 제어,히터 제어,따뜻한 바람 조금 덜 나오게 설정해 줘.
1922,차량 제어,운전 제어,일자 추월,시간 부족하니까 앞에 차 추월해 줘.
1923,차량 제어,자율 주행 시작,자율 주행 모드 종료,악셀을 밟으면 자율 주행 모드를 꺼 줘.
1924,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 주행 데이터 보고 싶어.
1925,차량 제어,공조 제어,에어컨 켜기,김이 서렸으니 에어컨 켜야 돼.
1926,차량 제어,운전 제어,일자 추월,정면에 보이는 차 추월 부탁합니다.
1927,차선 제어,차선 유지,차선 유지 모드 켜기,커브를 돌 때에는 차선에 개입하지 마.
1928,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 가능 여부에 대해 알아봐.
1929,차량 제어,운전 제어,일자 추월,앞에 차 제치고 서둘러 가 줘.
1930,차량 제어,긴급 차량,에스오에스차량 양보,구급차에게 길을 양보해야 하니 잠시 옆으로 가 있자.
1931,차량 제어,공조 제어,히터 제어,빨리 따뜻해지게 세게 틀어 줘.
1932,차량 제어,공조 제어,에어컨 제어,에어컨 이 단 낮춰.
1933,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속도 브리핑해 줘.
1934,차선 제어,차선 변경,왼쪽으로 차선 변경,맨 끝 차선 타줄래?
1935,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 평균 거리 알 수 있어?
1936,차량 제어,도어 제어,뒷자리 차문 열기,뒷 자리 사람들 내리자!
1937,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속도 체크해.
1938,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상 정지 모드 좀 작동 시켜라.
1939,차량 제어,도어 제어,뒷자리 차문 닫기,뒷자리 차 문 잠가 놔.
1940,차량 제어,좌석 제어,좌석 온도 제어,운전석 온도 훈훈하게 조정해 줘.
1941,차량 제어,긴급 차량,에스오에스차량 양보,구급차를 위해 길을 양보해 줘.
1942,차량 제어,긴급 차량,에스오에스차량 양보,구급차에 양보하려면 어디로 빠져야 해?
1943,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 기록 다시 불러 와.
1944,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 가능 여부 산출해 주세요.
1945,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자동 운전 여부 확인 부탁할게.
1946,차량 제어,속도 제어,주행 속도 세팅,평균 속도로 운전해 줘.
1947,주행 정보,주행 기록,자율 주행 주행 기록,어제 자율 주행으로 다녀온 곳 확인해.
1948,차선 제어,차선 변경,오른쪽으로 차선 변경,차 오는지 보고 오른쪽 차선으로 변경해.
1949,차량 제어,좌석 제어,좌석 통풍 켜기,통풍 기능 좀 시트에 켜 줄래?
1950,비상 제어,차량 비상 정지,비상 정지 모드 끄기,비상 정지 모드 그만 둬.
1951,차량 제어,창문 제어,조수석 창문 닫기,조수석 창문 닫는 것 좀 부탁할게.
1952,차량 제어,좌석 제어,좌석 온도 제어,이제 좌석 온도 기능 꺼도 돼.
1953,차량 제어,공조 제어,히터 제어,히터 바람이 좀 무뎌졌어.
1954,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 모드 속력에 관한 기록 보고해.
1955,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속도 몇이니?
1956,차량 제어,자율 주행 시작,자율 주행 모드 시작,자율 주행 모드 시작 하기.
1957,주행 정보,주행 기록,자율 주행 주행 기록,그동안 자율 주행 얼마나 했는지 알려 줘.
1958,차량 제어,좌석 제어,좌석 온도 제어,엉덩이 쪽 시트만 따뜻하게 틀어 줘.
1959,차량 제어,도어 제어,뒷자리 차문 열기,뒷자리에 있는 문 두 개 다 열어 봐.
1960,차량 제어,도어 제어,전체 차문 닫기,열려 있는 차 문 없도록 전체 닫아 줘.
1961,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행하기 위한 조건이 충족됐어?
1962,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속도 수치 불러 줘.
1963,차량 제어,공조 제어,히터 켜기,차 공기 따뜻해지게 히터.
1964,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행으로 운했했던 날 기록 알려 줘.
1965,차량 제어,좌석 제어,좌석 통풍 끄기,좌석 통풍 기능 작동 정지해 줄래?
1966,차량 제어,도어 제어,전체 차문 열기,주차 한 후 차문 다 열어 줘.
1967,차선 제어,차선 변경,차선 변경,추월 차선으로 바꾸는 게 현명하겠지.
1968,차선 제어,차선 변경,왼쪽으로 차선 변경,우리 차 위치 왼쪽으로 옮겨 줘.
1969,차량 제어,운전 제어,일자 따라 가기,앞 차 줘아가도록.
1970,차량 제어,도어 제어,뒷자리 차문 열기,집 도착 시 뒷자리 차문 열어 줘.
1971,차량 제어,긴급 차량,에스오에스차량 양보,긴급 차량 빨리 지나갈 수 있게 해 줘.
1972,차량 제어,좌석 제어,좌석 통풍 켜기,조수석 답답하지 않게 좌석 통풍시켜 줘.
1973,차량 제어,운전 제어,일자 추월,내 앞 차 앞질러서 운전해 줘.
1974,차량 제어,도어 제어,뒷자리 차문 닫기,뒷자리 문 모두 닫혔나 확인해 줘.
1975,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 달린 기록 다 보여 줘.
1976,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 시 기록해 놓은 주행 기록 출력해 줘.
1977,차선 제어,차선 변경,오른쪽으로 차선 변경,차선 오른쪽으로 두 번 옮겨 줘.
1978,차선 제어,차선 변경,왼쪽으로 차선 변경,왼쪽 차선에 사고 난 거 같으니까 오른쪽 차선으로 변경해 줘.
1979,차량 제어,도어 제어,조수석 차문 닫기,조수석 차 문 닫으면 자동으로 잠가 줘.
1980,주행 정보,주행 기록,자율 주행 주행 기록,지금 자율 주행 이력 좀 봐 줘.
1981,차량 제어,긴급 차량,에스오에스차량 양보,앰뷸런스 길 터 줘.
1982,차량 제어,도어 제어,조수석 차문 열기,조수석 차문 자동 열림 기능 열림으로 설정해.
1983,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길이 보이면 차 세 세워 줘.
1984,차선 제어,차선 변경,차선 변경,차선을 이 차선으로 이동해 줘.
1985,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에 잠시 정차할게요.
1986,차량 제어,자율 주행 시작,자율 주행 모드 시작,도로에 차 별로 없으니까 자율 주행 모드 켜 줘.
1987,차량 제어,도어 제어,전체 차문 닫기,도착 전에 차문 못 열게 잠가 줘.
1988,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행으로 가장 많이 주행하는 곳 말해 줘.
1989,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 기능 이용 가능성 체크 부탁해.
1990,차량 제어,도어 제어,뒷자리 차문 열기,뒷자리 차 문 제어 해제해 줘.
1991,차량 제어,창문 제어,조수석 창문 열기,조수석 창문 열어서 환기 부탁해.
1992,차량 제어,공조 제어,히터 제어,히터 바람 너무 세니까 낮춰.
1993,차선 제어,차선 변경,왼쪽으로 차선 변경,방향 지시등 왼쪽으로 키고 이동해 줘.
1994,차량 제어,운전 제어,일자 추월,앞 차 추월 가능하면 추월 좀 해 줘.
1995,차량 제어,속도 제어,주행 속도 세팅,내가 달린 평균 속도 값으로 세팅 가능해?
1996,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 실행 가능 여부 확인해 보도록.
1997,차량 제어,공조 제어,에어컨 제어,에어컨 설정 기능 매뉴얼 좀 알려 줘.
1998,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행으로 설정한 목적지 어디였지?
1999,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 얼른 주차해 줘.
2000,차량 제어,도어 제어,조수석 차문 닫기,조수석 수동으로 못열게 설정해.
2001,비상 제어,보험사 연락,자동 보험사 연락,보험사 자동 전화 켜 줘.
2002,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드로 목적지까지 가 줘.
2003,차량 제어,좌석 제어,좌석 통풍 끄기,시트 팬 가동 중지.
2004,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에서 다시 차도로 들어가 줘.
2005,차량 제어,도어 제어,전체 차문 열기,집에 도착하면 차 문 다 열어줄래?
2006,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속력 어느 정도야?
2007,차량 제어,좌석 제어,좌석 온도 올리기,시트가 차가우니 온도 높여 줘.
2008,차선 제어,차선 변경,왼쪽으로 차선 변경,왼쪽 차선에 차가 별로 없으니 거기서 주행해.
2009,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에 차 좀 대주겠니?
2010,차량 제어,좌석 제어,좌석 통풍 켜기,뒷좌석 쿨링을 켜 줘.
2011,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 이탈하자.
2012,차량 제어,좌석 제어,좌석 온도 올리기,좌석 온도 이 단계 따뜻하게.
2013,차량 제어,좌석 제어,좌석 통풍 켜기,시트에 땀 식혀 줘.
2014,주행 정보,주행 기록,자율 주행 주행 기록,저장한 자율 주행 기록 확인 부탁할게요!
2015,비상 제어,보험사 연락,자동 보험사 연락,보험사에 전화 해서 물어 보자.
2016,비상 제어,보험사 연락,자동 보험사 연락,보험사에 연락 자동 연결 시스템 있니?
2017,비상 제어,보험사 연락,자동 보험사 연락,직원 분 연결 바로 시켜 줘.
2018,차량 제어,공조 제어,히터 제어,온도 너무 높지 않게 히터 틀어 줄래?
2019,차량 제어,도어 제어,전체 차문 열기,이제 내려 차 문 열어 줘.
2020,차량 제어,도어 제어,전체 차문 닫기,주행 동안 전 좌석 잠금 유지해 줘.
2021,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상시 정지 모드 켜 줘.
2022,차량 제어,도어 제어,전체 차문 닫기,차 문 안 닫힌 곳 있으면 다 닫아 줘.
2023,차량 제어,도어 제어,전체 차문 열기,차 안 청소하게 문 전부 열어 줘.
2024,차량 제어,긴급 차량,에스오에스차량 양보,앰뷸런스에 자리 양보해 줘.
2025,차량 제어,긴급 차량,에스오에스차량 양보,응급차에 길 양보하자.
2026,차선 제어,차선 변경,차선 변경,옆쪽으로 차선 이동해 줘.
2027,차량 제어,운전 제어,일자 추월,집에 빨리 도착하고 싶으니깐 앞 차들 추월해 줘.
2028,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행이 가능한지 알기를 원해.
2029,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상등 오십 초 지나면 꺼 줘.
2030,비상 제어,차량 비상 정지,비상 정지 모드 켜기,기름이 반 이하로 떨어지면 비상 정지 기능 켜 줘.
2031,차량 제어,긴급 차량,에스오에스차량 양보,소방차에게 경로를 확보해주자.
2032,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 운전대 돌려 줘.
2033,차량 제어,운전 제어,일자 추월,더 빨리 달려 앞 차 넘어가 줘.
2034,차선 제어,갓길 이동 정차,갓길 이동 명령,주행 문제 있어 차 갓길로 옮겨 줘.
2035,비상 제어,보험사 연락,자동 보험사 연락,보험사와 연락이 자동으로 되게 해.
